manager_id,manager_name,type,style,strategy,sector,active
116,Aestimo Technologies Limited,CTA,Systematic,Short Term,Equity,False
117,Aetolian Advisors  / Newton Capital Partners LP,CTA,Discretionary,Fundamental,Global,True
118,Afalon Investment Management,Equity LS,Discretionary,Fundamental,ESG,False
119,AFB,LongOnly,Discretionary,Fundamental,Global,False
120,Africa Opportunity,Private Equity,Discretionary,Diversified,Emerging,True
121,AG Bisset,CTA,Systematic,Multi Strategy,Currency,False
123,AG Capital,CTA,Discretionary,Fundamental,Global,True
124,Agenta Investment Management,Hedge Fund,Discretionary,Multi Strategy,Global,True
125,Agfutures Group,CTA,Discretionary,Fundamental,Agricultural,False
126,Aggressive Strategy Crypto Secrets,Crypto,Discretionary,Digital Asset Allocator,Global,False
127,Agile Investment Management,CTA,Systematic,Multi Strategy,Volatility,False
128,Agility Trading,CTA,Systematic,Trend Following,Global,True
129,Ahead Capital Management,CTA,Discretionary,Fundamental,Global,True
130,AhlTrade,CTA,Systematic,Option Writer,Equity,False
131,AI Growth 2020,Crypto,Discretionary,Digital Asset Allocator,Global,False
132,AI-1 CTA Euro Invest,CTA,Systematic,Multi Strategy,Global,False
133,AIF Alternativ Invest Finance AG,CTA,Systematic,Trend Following,Global,False
134,AIFM Capital,CTA,Systematic,Trend Following,Global,True
135,AIM Capital,Hedge Fund,Fund of Funds,Diversified,Global,True
136,AIMcapital AG,CTA,Systematic,Trend Following,Global,False
137,AIMhedge Management,CTA,Systematic,Trend Following,Global,False
138,Aionite Capital,CTA,Systematic,AI,Global,False
139,Aire Capital Management,CTA,Discretionary,Option Strategy,Equity,False
140,AIS Capital Management,CTA,Discretionary,Fundamental,Global,True
141,aiSource Funds,CTA,Discretionary,Multi Strategy,Global,False
142,AJ Fund Management,Equity LS,Discretionary,Fundamental,Nordic,False
143,AJinvest Capital,Crypto,Discretionary,Digital Asset Allocator,Global,False
144,Aksel Capital Management,CTA,Discretionary,Option Writer,Equity,False
145,Aktie Ansvar,Equity LS,Discretionary,Fundamental,Nordic,False
146,AL strategy,Crypto,Discretionary,Digital Asset Allocator,Global,False
147,Alameda Research,Crypto,Discretionary,Market Neutral,Global,False
148,Alandsbanken,LongOnly,Active Index,Enhanced Index,Commodity,False
149,Albedo Capital,CTA,Systematic,Multi Strategy,Currency,False
150,Alchemy Investment Management,Equity LS,Discretionary,Fundamental,India,False
151,Alchemy Trading AS,Equity LS,Discretionary,Fundamental,Nordic,False
152,Alcur,Equity LS,Discretionary,Fundamental,Nordic,True
153,Aldebaran Fund Management,CTA,Discretionary,Fundamental,Currency,False
154,Alder Capital,CTA,Systematic,Trend Following,Currency,False
155,Alea iacta est,Crypto,Discretionary,Digital Asset Allocator,Global,False
156,Alee Capital Management,CTA,Systematic,Multi Strategy,Global,False
157,Aleph One Fund Management,CTA,Systematic,Multi Strategy,Currency,False
158,Aleph Strategies,CTA,Systematic,Option Writer,Equity,False
159,Alesia Capital Management,CTA,Discretionary,Fundamental,Global,False
160,Alessia,CTA,Discretionary,Fundamental,Global,False
161,Alexander Capital Group,CTA,Discretionary,Fundamental,Energy,False
162,Alfakraft,AssetAllocation,Discretionary,Diversified,Global,True
163,Alfastori,Crypto,Discretionary,Digital Asset Allocator,Global,False
164,Algebris,Fixed Income,Discretionary,Fundamental,Europe,True
165,Alger,Equity LS,Discretionary,Growth,US,True
166,Algert,Market Neutral,Systematic,Fundamental,Global,True
167,Algo Capital,CTA,Systematic,AI,Energy,False
168,Algocentric Capital,CTA,Systematic,Trend Following,Global,False
169,AlgoLab Capital Management,CTA,Systematic,AI,Global,False
170,AlgoProtecc,Crypto,Discretionary,Digital Asset Allocator,Global,False
171,Algorithm Performance,Crypto,Discretionary,Digital Asset Allocator,Global,False
174,Algotrade Solutions Pte,CTA,Systematic,Multi Strategy,Currency,False
175,Algoz Technologies,Crypto,Systematic,Crypto LS,Global,False
176,ALH Capital Corp,CTA,Systematic,Contrarian,Global,False
177,Alinea Capital Management AS,Equity LS,Discretionary,Fundamental,Gaming,False
178,Alinpa AG,CTA,Discretionary,Technical,Global,False
179,Alis Capital Management,CTA,Systematic,Trend Following,Global,False
180,Alken,Equity LS,Discretionary,Fundamental,Europe,True
181,Alkeon,Equity LS,Discretionary,Fundamental,Global,True
182,All in or nothing,Crypto,Discretionary,Digital Asset Allocator,Global,False
183,AllDottyD,Crypto,Discretionary,Digital Asset Allocator,Global,False
184,AllianceBernstein,AssetAllocation,Discretionary,Diversified,Global,True
185,Allianz Global Investors,Fixed Income,Discretionary,Fundamental,Global,True
186,Allied Irish Capital Management,CTA,Discretionary,Fundamental,Currency,False
187,Allington,RiskPremia,Systematic,Multi Strategy,Global,True
188,AllMountain Capital AG,CTA,Systematic,Trend Following,Global,False
189,AllSeasonsPTL Investment Management,CTA,Systematic,Trend Following,Global,False
190,Allspring,RiskPremia,Systematic,Multi Strategy,Global,True
191,Alma,Hedge Fund,Fund of Funds,Diversified,Global,False
192,Alo Alo,Crypto,Discretionary,Digital Asset Allocator,Global,False
193,Alpha 137 Structure,Crypto,Discretionary,Digital Asset Allocator,Global,False
194,Alpha Asset Management,CTA,Discretionary,Option Writer,Equity,False
195,Alpha Capital Management,CTA,Discretionary,Multi Strategy,Global,False
196,Alpha Capital Ventures,CTA,Systematic,Trend Following,Global,False
197,Alpha Centauri Capital Management,CTA,Discretionary,Fundamental,Global,False
198,Alpha Centauri Investment Management,Factor,Systematic,Multi Strategy,Equity,False
199,Alpha Commodities Fund,CTA,Fund of Funds,Diversified,Global,False
200,Alpha CP Trading,CTA,Systematic,Short Term,Global,False
201,Alpha DNA,Equity LS,Systematic,Fundamental,US,False
202,Alpha Kairos Asset Management,CTA,Systematic,Trend Following,Global,False
203,Alpha Real Capital,Private Equity,Discretionary,Diversified,REIT,False
204,Alpha Securities,CTA,Systematic,Short Term,Global,False
