manager_id,manager_name,type,style,strategy,sector
390,ATAC,AssetAllocation,Systematic,Diversified,Global
392,Athos,Event Driven,Discretionary,Fundamental,Asia
3684,Atitlan Asset Management,Crypto,Systematic,Market Neutral,Global
393,Atkins and Associates,CTA,Fund of Funds,Diversified,Currency
394,Atlant Fonder,Equity LS,Discretionary,Option Strategy,Nordic
396,Atlantic House,AssetAllocation,Discretionary,Diversified,Global
399,Atlas,CTA,Discretionary,Fundamental,Global
4440,Atomic Global Management,Crypto,Discretionary,Market Neutral,Global
408,AuAg Funds,LongOnly,Discretionary,Fundamental,ESG
420,Auspice Capital Advisors,CTA,Systematic,Trend Following,Global
3685,Avanto Capital,Hedge Fund,Discretionary,Fundamental,Global
433,Avenue Investments,Crypto,Fund of Funds,Crypto LS,Global
435,AVM,CTA,Systematic,Fundamental,Global
438,Axa IM,Fixed Income,Discretionary,Fundamental,Cat Bond
3822,Axiom Alternative Investments,CTA,Discretionary,Fundamental,Fixed Income
3821,Axiom International Investors,Equity LS,Discretionary,Fundamental,Global
3940,Axonic Capital,Fixed Income,Discretionary,Fundamental,Credit
446,Azimut,Fixed Income,Discretionary,Fundamental,Global
4061,Azure Tide Holdings,Crypto,Discretionary,Market Neutral,Global
4151,Backhouse Trading,CTA,Discretionary,Fundamental,Global
452,Bain Capital,Equity LS,Discretionary,Fundamental,ESG
3675,Bainbridge Partners,CTA,Systematic,Tail Protect,Equity
4198,Bald Eagle Capital Strategies,CTA,Systematic,Short Term,Equity
463,Bankhaus Lampe,Hedge Fund,Fund of Funds,Diversified,Global
464,Banor,Equity LS,Discretionary,Fundamental,Global
3656,Barclays Capital,Hedge Fund,Fund of Funds,Diversified,Global
474,BASE Investments SICAV,Hedge Fund,Discretionary,Multi Strategy,Global
476,Bastiat Capital,CTA,Systematic,Trend Following,Global
488,BCV (Banque Cantonale Vaudoise),RiskPremia,Systematic,Multi Strategy,Global
489,BDL Capital,Market Neutral,Systematic,Multi Strategy,Global
501,Bedrock Digital Assets,Crypto,Systematic,Digital Asset Allocator,Global
505,Being and investments,LongOnly,Discretionary,Activist,Equity
4163,Bellator Capital,CTA,Systematic,Trend Following,Global
509,Bellevue,AssetAllocation,Discretionary,Multi Strategy,Global
4004,Bennelong Funds Management,Equity LS,Discretionary,Fundamental,Asia
517,Bentley Reid & Co (UK),Crypto,Discretionary,Digital Asset Allocator,Global
532,BIG Banco de Investimento Global,CTA,Discretionary,Multi Strategy,Global
4005,Billings Capital Management,Equity LS,Discretionary,Fundamental,Global
537,BioPharma,Fixed Income,Discretionary,Credit,Global
4363,Bit Capital,Crypto,Discretionary,Crypto LS,Global
